name,team,date_of_birth,palce_of_birth,role,height,test_bat_rank,odi_bat_rank,t20_bat_rank,test_bow_rank,odi_bow_rank,t20_bow_rank,link
Sharad Vesawkar,Nepal,"Oct 06, 1988 (34 years)",United Arab Emirates,Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/9971/sharad-vesawkar
Paras Khadka,Nepal,"Oct 24, 1987 (35 years)",Nepal,Batting Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/9958/paras-khadka
Amrit Bhattarai,Nepal,"Dec 30, 1990 (31 years)",Nepal,Bowling Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/9985/amrit-bhattarai
Shakti Gauchan,Nepal,"Apr 22, 1984 (38 years)","Rupandehi, Nepal",Bowling Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/9963/shakti-gauchan
Avinash Karn,Nepal,"Feb 04, 1995 (27 years)",--,Bowling Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/9964/avinash-karn
Basant Regmi,Nepal,"Apr 06, 1986 (36 years)",Bhairahawa,Bowling Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/9968/basant-regmi
Sagar Pun,Nepal,"Mar 01, 1993 (29 years)",--,Bowling Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/9969/sagar-pun
Pradeep Airee,Nepal,"Sep 01, 1992 (30 years)",--,WK-Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/9959/pradeep-airee
Binod Bhandari,Nepal,"Jan 25, 1990 (32 years)",Kanchanpur,WK-Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/9961/binod-bhandari
Subash Khakurel,Nepal,"Apr 07, 1993 (29 years)",--,WK-Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/9965/subash-khakurel
Karan KC,Nepal,"Oct 10, 1991 (31 years)","Sigana V.D.C, Baglung",Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10203/karan-kc
Jitendra Mukhiya,Nepal,"Nov 22, 1992 (30 years)",Nepal,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/9967/jitendra-mukhiya
Sompal Kami,Nepal,"Feb 02, 1996 (26 years)",Gulmi,Bowler,--,--,--,--,--,100,--,https://www.cricbuzz.com/profiles/9970/sompal-kami
Riaan Walters,Namibia,"Aug 10, 1980 (42 years)",Namibia,Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/7693/riaan-walters
Sarel Burger,Namibia,"Feb 13, 1983 (39 years)",Windhoek,Batting Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/7706/sarel-burger
Gerrie Snyman,Namibia,"Apr 30, 1981 (41 years)",Windhoek,Bowling Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/7701/gerrie-snyman
Stefan Swanepoel,Namibia,"Dec 02, 1981 (41 years)",Namibia,WK-Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/7694/stefan-swanepoel
Jan-Berrie Burger,Namibia,"Aug 25, 1981 (41 years)","Newcastle, South Africa",Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/7695/jan-berrie-burger
Burton van Rooi,Namibia,"Jul 09, 1982 (40 years)",Namibia,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/7707/burton-van-rooi
Louis Burger,Namibia,"Mar 12, 1978 (44 years)",Namibia,--,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/7698/louis-burger
Morne Karg,Namibia,"Jul 12, 1977 (45 years)",Windhoek,--,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/7700/morne-karg
Danie Keulder,Namibia,"Aug 02, 1973 (49 years)",Namibia,--,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/7696/danie-keulder
Bjorn Kotze,Namibia,"Dec 11, 1978 (43 years)",Windhoek,--,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/7703/bjorn-kotze
Deon Kotze,Namibia,"Sep 12, 1973 (49 years)",Windhoek,--,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/7699/deon-kotze
Lennie Louw,Namibia,"Jun 19, 1959 (63 years)","Barkly West, Cape Province, South Africa",--,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/7702/lennie-louw
Melt van Schoor,Namibia,"Dec 08, 1967 (55 years)","Mowbray, Cape Town, Cape Province, South Africa",--,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/7704/melt-van-schoor
Rudi van Vuuren,Namibia,"Sep 20, 1972 (50 years)",Windhoek,--,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/7705/rudi-van-vuuren
Ali Bushahri,Kuwait,"Oct 17, 1996 (26 years)",Kuwait,Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10138/ali-bushahri
Alkandari Mohammad,Kuwait,"Mar 28, 1994 (28 years)",--,Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10141/alkandari-mohammad
Alnadi Faleh,Kuwait,"Oct 07, 1984 (38 years)",--,Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10142/alnadi-faleh
Bastaki Abdullah,Kuwait,"Mar 02, 1990 (32 years)",--,Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10145/bastaki-abdullah
Eissa Jassim,Kuwait,"Mar 29, 1985 (37 years)",--,Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10149/eissa-jassim
Salem Mishary,Kuwait,"Jul 24, 1989 (33 years)",--,Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10150/salem-mishary
Bastaki Mahmoud,Kuwait,"May 05, 1956 (66 years)",--,Bowling Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10147/bastaki-mahmoud
Abdulrahman Dashti,Kuwait,"Apr 07, 1984 (38 years)",--,WK-Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10136/abdulrahman-dashti
Alkandari Abdulrahman,Kuwait,"Dec 19, 1988 (33 years)",--,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10140/alkandari-abdulrahman
Alotaibi Mohammed,Kuwait,"Mar 23, 1984 (38 years)",--,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10143/alotaibi-mohammed
Bastaki Fahad,Kuwait,"Mar 07, 1991 (31 years)",--,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10146/bastaki-fahad
Ebrahim Aldhabyan,Kuwait,--,--,--,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10137/ebrahim-aldhabyan
Ali Zainal,Kuwait,--,--,--,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10139/ali-zainal
Beidas Tareq,Kuwait,"May 12, 1975 (47 years)",--,--,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10148/beidas-tareq
Yousif Alzaid,Kuwait,--,--,--,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10151/yousif-alzaid
Mohammad Usman,United Arab Emirates,"Aug 29, 1993 (29 years)",Lahore,Batsman,--,--,--,97,--,--,--,https://www.cricbuzz.com/profiles/10869/mohammad-usman
Shaiman Anwar,United Arab Emirates,"Mar 15, 1979 (43 years)","Sialkot, Punjab",Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/9837/shaiman-anwar
Chundangapoyil Rizwan,United Arab Emirates,"Apr 19, 1988 (34 years)","Tellicherry, Kerala",Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/14554/chundangapoyil-rizwan
Chirag Suri,United Arab Emirates,"Feb 18, 1995 (27 years)",--,Batsman,--,--,--,94,--,--,--,https://www.cricbuzz.com/profiles/9829/chirag-suri
Ashfaq Ahmed,United Arab Emirates,"Mar 26, 1985 (37 years)",--,Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/13278/ashfaq-ahmed
Mohammad Boota,United Arab Emirates,"Jan 05, 1983 (39 years)","Sialkot, Pakistan",Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/13279/mohammad-boota
Fayyaz Ahmed,United Arab Emirates,"May 12, 1983 (39 years)","Gujrat, Punjab",Batting Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10038/fayyaz-ahmed
Rohan Mustafa,United Arab Emirates,"Oct 07, 1988 (34 years)",Kohat,Batting Allrounder,--,--,--,--,--,48,88,https://www.cricbuzz.com/profiles/9835/rohan-mustafa
Ahmed Raza,United Arab Emirates,"Oct 10, 1988 (34 years)",Sharjah,Bowling Allrounder,--,--,--,--,--,39,93,https://www.cricbuzz.com/profiles/9828/ahmed-raza
Mohammad Naveed,United Arab Emirates,"Jun 03, 1987 (35 years)",--,Bowling Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/9832/mohammad-naveed
Ghulam Shabber,United Arab Emirates,"Dec 12, 1985 (36 years)",Jhang,WK-Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/11817/ghulam-shabber
Imran Haider,United Arab Emirates,"Oct 31, 1987 (35 years)",Lahore,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10874/imran-haider
Qadeer Ahmed,United Arab Emirates,"Nov 15, 1985 (37 years)","Attock, Pakistan",Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10814/qadeer-ahmed
Sultan Ahmed,United Arab Emirates,"Oct 11, 1989 (33 years)","Gujranwala, Punjab",Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/12746/sultan-ahmed
Amir Hayat,United Arab Emirates,"Aug 28, 1982 (40 years)",--,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/13269/amir-hayat
Zahoor Khan,United Arab Emirates,"May 25, 1989 (33 years)","Faisalabad, Punjab",Bowler,--,--,--,--,--,75,60,https://www.cricbuzz.com/profiles/12247/zahoor-khan
Alex Obanda,Kenya,"Dec 25, 1987 (34 years)","Nairobi, Kenya",Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/704/alex-obanda
Duncan Allan,Kenya,"Oct 14, 1991 (31 years)",--,Batting Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/8075/duncan-allan
Collins Obuya,Kenya,"Jul 27, 1981 (41 years)",Nairobi,Batting Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/550/collins-obuya
Seren Waters,Kenya,"Apr 11, 1990 (32 years)","Nairobi, Kenya",Batting Allrounder,6 ft 0 in,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/1592/seren-waters
Ragheb Aga,Kenya,"Jul 10, 1984 (38 years)",Kenya,Bowling Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/188/ragheb-aga
Nelson Odhiambo,Kenya,"Mar 21, 1989 (33 years)","Nairobi, Kenya",Bowling Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/6478/nelson-odhiambo
Nehemiah Odhiambo,Kenya,"Aug 07, 1983 (39 years)","Nairobi, Kenya",Bowling Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/552/nehemiah-odhiambo
Emmanuel Bundi,Kenya,"Sep 08, 1993 (29 years)","Kakamega, Kenya",Bowling Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/9356/emmanuel-bundi
Irfan Karim,Kenya,"Sep 25, 1992 (30 years)",--,WK-Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/8077/irfan-karim
Morris Ouma,Kenya,"Nov 08, 1982 (40 years)",Kiambli,WK-Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/194/morris-ouma
Rakep Patel,Kenya,"Jul 12, 1989 (33 years)","Nairobi, Kenya",WK-Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/1434/rakep-patel
Ibrahim Akello,Kenya,"Mar 31, 1985 (37 years)",--,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/8074/ibrahim-akello
Alfred Luseno,Kenya,"Dec 20, 1981 (40 years)",Kakemaga,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/824/alfred-luseno
James Ngoche,Kenya,"Jan 29, 1988 (34 years)",--,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/7727/james-ngoche
Shem Ngoche,Kenya,"Jun 06, 1989 (33 years)",Kenya,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/7708/shem-ngoche
Lucas Oluoch,Kenya,"Aug 07, 1991 (31 years)","Nairobi, Kenya",Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/8078/lucas-oluoch
Elijah Otieno,Kenya,"Jan 03, 1988 (34 years)","Nairobi, Kenya",Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/791/elijah-otieno
Hiren Varaiya,Kenya,"Apr 09, 1984 (38 years)",Kenya,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/553/hiren-varaiya
Dominic Wesonga,Kenya,"Jul 16, 1988 (34 years)",--,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/7888/dominic-wesonga
Kyle Coetzer,Scotland,"Apr 14, 1984 (38 years)",Aberdeen,Batsman,5 ft 11 in,--,40,--,--,--,--,https://www.cricbuzz.com/profiles/1415/kyle-coetzer
Dylan Budge,Scotland,"Sep 11, 1995 (27 years)","Leeds, Yorkshire",Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/13738/dylan-budge
Michael Jones,Scotland,"Jan 05, 1998 (24 years)","Ormskirk, Lancashire",Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/13527/michael-jones
George Munsey,Scotland,"Feb 21, 1993 (29 years)",Oxford,Batsman,--,--,48,22,--,--,--,https://www.cricbuzz.com/profiles/10103/george-munsey
Richie Berrington,Scotland,"Apr 03, 1987 (35 years)","Pretoria, South Africa",Batting Allrounder,--,--,68,25,--,--,--,https://www.cricbuzz.com/profiles/1398/richie-berrington
Calum MacLeod,Scotland,"Nov 15, 1988 (34 years)","Glasgow, Lanarkshire",Batting Allrounder,--,--,39,79,--,--,--,https://www.cricbuzz.com/profiles/1416/calum-macleod
Michael Leask,Scotland,"Oct 29, 1990 (32 years)",Aberdeen,Batting Allrounder,--,--,90,--,--,87,--,https://www.cricbuzz.com/profiles/9383/michael-leask
Alasdair Evans,Scotland,"Jan 12, 1989 (33 years)","Pembury, Kent",Bowling Allrounder,6 ft 5 in,--,--,--,--,--,89,https://www.cricbuzz.com/profiles/3053/alasdair-evans
Tom Sole,Scotland,"Jun 21, 1996 (26 years)",Edinburgh,Bowling Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/12771/tom-sole
Matthew Cross,Scotland,"Oct 15, 1992 (30 years)",Aberdeen,WK-Batsman,--,--,--,83,--,--,--,https://www.cricbuzz.com/profiles/9365/matthew-cross
Craig Wallace,Scotland,"Jun 27, 1990 (32 years)","Dundee, Angus",WK-Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/8255/craig-wallace
Mark Watt,Scotland,"Jul 29, 1996 (26 years)","Eastern General Hospital, Edinburgh",Bowler,--,--,--,--,--,19,29,https://www.cricbuzz.com/profiles/9928/mark-watt
Safyaan Sharif,Scotland,"May 24, 1991 (31 years)","Huddersfield, Yorkshire",Bowler,--,--,--,--,--,61,73,https://www.cricbuzz.com/profiles/7966/safyaan-sharif
Chris Sole,Scotland,"Feb 27, 1994 (28 years)",--,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/9925/chris-sole
Gavin Main,Scotland,"Feb 28, 1995 (27 years)",Lanark,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/9922/gavin-main
Brad Wheal,Scotland,"Aug 28, 1996 (26 years)","Durban, KwaZulu-Natal",Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10389/brad-wheal
Delyone Borden,Bermuda,"Mar 04, 1985 (37 years)",Bermuda,Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/662/delyone-borden
James Celestine,Bermuda,"Oct 13, 1973 (49 years)",Grenada,Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/861/james-celestine
Fiqre Crockwell,Bermuda,"Jul 08, 1985 (37 years)",Bermuda,Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/3373/fiqre-crockwell
Chris Foggo,Bermuda,"May 07, 1982 (40 years)","Hamilton, Bermuda",Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/1755/chris-foggo
David Hemp,Bermuda,"Nov 08, 1970 (52 years)","Hamilton, Bermuda",Batsman,6 ft 1 in,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/664/david-hemp
Kyle Hodsoll,Bermuda,"Nov 24, 1988 (34 years)",Bermuda,Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/863/kyle-hodsoll
Steven Outerbridge,Bermuda,"May 20, 1983 (39 years)","Paget, Bermuda",Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/670/steven-outerbridge
Azeem Pitcher,Bermuda,"Jul 31, 1980 (42 years)",Trinidad,Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/864/azeem-pitcher
Tamauri Tucker,Bermuda,"Dec 10, 1988 (33 years)",Bermuda,Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/866/tamauri-tucker
Malachi Jones,Bermuda,"Jun 26, 1989 (33 years)",Bermuda,Batting Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/666/malachi-jones
Oliver Pitcher,Bermuda,"May 27, 1983 (39 years)","Paget, Bermuda",Batting Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/671/oliver-pitcher
Rodney Trott,Bermuda,"Sep 08, 1987 (35 years)",Bermuda,Batting Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/865/rodney-trott
Janeiro Tucker,Bermuda,"Mar 15, 1975 (47 years)",Bermuda,Batting Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/673/janeiro-tucker
Jekon Edness,Bermuda,"Sep 13, 1983 (39 years)",Bermuda,WK-Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/862/jekon-edness
Oronde Bascome,Bermuda,"Mar 08, 1988 (34 years)",Bermuda,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/1427/oronde-bascome
Chris Douglas,Bermuda,"Nov 20, 1989 (33 years)",Bermuda,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/1428/chris-douglas
Dennico Hollis,Bermuda,"Aug 17, 1988 (34 years)",Bermuda,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/1431/dennico-hollis
Kevin Hurdle,Bermuda,"Dec 30, 1976 (45 years)",Bermuda,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/665/kevin-hurdle
Stefan Kelly,Bermuda,"Aug 24, 1988 (34 years)",Bermuda,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/667/stefan-kelly
Chris Lonsdale,Bermuda,"Sep 15, 1987 (35 years)",Bermuda,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/1762/chris-lonsdale
George O Brien,Bermuda,"Sep 16, 1984 (38 years)",Bermuda,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/3343/george-o-brien
Jacobi Robinson,Bermuda,"Dec 31, 1984 (37 years)",Bermuda,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/1775/jacobi-robinson
McLaren Smith,Bermuda,"Aug 31, 1991 (31 years)",--,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/1779/mclaren-smith
Ryan Steede,Bermuda,"Sep 11, 1975 (47 years)",Bermuda,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/1430/ryan-steede
Glenn Blakeney,Bermuda,"Feb 22, 1973 (49 years)",Bermuda,--,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/3372/glenn-blakeney
Irving Romaine,Bermuda,"Aug 08, 1972 (50 years)",Bermuda,--,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/660/irving-romaine
