product_name,brand_name,rating,rating_count,marked_price,discounted_price,sizes,product_link,img_link,product_tag,brand_tag,discount_amount,discount_percent
Croc Textured Two Fold Wallet,Lino Perros,0,0,1295,828,Onesize,wallets/lino-perros/lino-perros-women-peach-coloured-croc-textured-two-fold-wallet/18070682/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18070682/2022/5/16/fd3151c6-aa03-4e37-b7a9-2b7adfed966a1652701027315LinoPerrosWomenPeach-ColouredCrocTexturedTwoFoldWallet1.jpg",wallets,lino-perros,467,36
Men Striped Sliders,Mast & Harbour,4,76,1299,584,"UK6,UK7,UK8,UK9,UK10,UK11",flip-flops/mast--harbour/mast--harbour-men-navy-blue--grey-striped-sliders/12548958/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/12548958/2020/11/5/8b7ecd9b-8395-40fb-b5a4-ea3134d815b21604576826976-Mast--Harbour-Men-Flip-Flops-9011604576825368-1.jpg",flip-flops,mast--harbour,715,55
Printed A-line Kurta,Biba,4.3,66,1999,1599,"S,M,L,XL,XXL,3XL",kurtas/biba/biba-women-off-white--black-printed-pure-cotton-a-line-kurta/13446092/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/13446092/2021/2/11/479e2878-61ce-469c-991d-e6ce7a81cdad1613025012925KurtasBibaWomenKurtasBibaWomenKurtasBibaWomen1.jpg",kurtas,biba,400,20
Girls Floral Printed T-shirt,Anthrilo,0,0,599,539,"7-8Y,8-9Y,9-10Y",tshirts/anthrilo/anthrilo-girls-white-floral-printed-t-shirt/18017006/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18017006/2022/4/25/6974efde-6564-4e7d-89c8-1c7586dabbfb1650865275421AnthriloGirlsWhiteFloralPrintedT-shirt1.jpg",tshirts,anthrilo,60,10
Women Printed Kurta with Skirt,FASHION DWAR,0,0,2899,2899,"S,M,L,XL",kurta-sets/fashion-dwar/fashion-dwar-women-multicoloured-ethnic-motifs-printed-pleated-pure-cotton-kurta-with-skirt/18015232/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18015232/2022/4/23/cedd0f10-fb42-4f68-aece-b823c752975b1650726808414FASHIONDWARWomenMulticolouredFloralPrintedEmpirePureCottonKu1.jpg",kurta-sets,fashion-dwar,0,0
Floral Cotton Maxi Dress,Vishudh,4.1,800,4349,1826,"S,M,L,XL,XXL",dresses/vishudh/vishudh-rust-brown-floral-printed-cotton-anarkali-dress/7726509/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/7726509/2018/11/2/1f1d6d43-8ceb-4cce-af10-cfcbe796f2861541144072761-Vishudh-Women-Rust-Printed-A-Line-Dress-7321541144072563-1.jpg",dresses,vishudh,2523,58
Fitted Crop Top,Tokyo Talkies,4.4,210,499,249,"S,M,L,XL",tops/tokyo-talkies/tokyo-talkies-pink-fitted-crop-top/14424536/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/14424536/2021/10/8/226c9f64-e506-40dc-be8e-85035d9d77051633676957774TokyoTalkiesPinkFittedCropTop1.jpg",tops,tokyo-talkies,250,50
Men Mesh Running Shoes,Woakers,3.4,591,3125,687,"UK6,UK7,UK8,UK9,UK10",sports-shoes/woakers/woakers-men-white--orange-mesh-running-shoes/13067478/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2020/11/23/1b307357-ee09-43f3-9da4-692f22fedab61606117121974-1.jpg",sports-shoes,woakers,2438,78
Men Checked Pullover,Roadster,4.3,528,1999,999,"S,M,L,XL",sweaters/roadster/the-roadster-lifestyle-co-men-black--teal-blue-jacquard-checked-pullover/15654428/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15654428/2021/10/6/20733fdc-554a-4990-b80b-6046b4b0ea5b1633503401601-Computerised-Jacquard-Sweater-2231633503401076-1.jpg",sweaters,roadster,1000,50
Girls Cotton Jersey Top,H&M,4.2,16,599,599,"8-10Y,10-12Y,12-14Y,14-15Y",tops/hm/hm-girls-pink-cotton-jersey-top/16929940/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16929940/2022/1/25/11596469-d0bf-4332-b88a-8ceaa02c28681643116443439Cottonjerseytop1.jpg",tops,hm,0,0
Cotton Twill Cap,H&M,4.2,13,699,699,Onesize,caps/hm/hm-white-cotton-twill-cap/18212980/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18212980/2022/5/10/6628a33c-1936-45af-bf5d-034e2d0ff8f51652175533542Cottontwillcap1.jpg",caps,hm,0,0
Women Geometric Printed Kurta,Vishudh,4.3,48,1849,647,"S,M,L,XL,XXL",kurtas/vishudh/vishudh-women-black-geometric-printed-thread-work-kurta/16107014/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16107014/2021/11/16/cce25edb-8fb4-4c02-aed1-4857b7b8a77a1637046628433VishudhWomenBlackGeometricPrintedThreadWorkKurta1.jpg",kurtas,vishudh,1202,65
Women  Solid Cotton Lounge Pants,Mystere Paris,4.2,5,899,899,"S,M,L,XL,XXL",lounge-pants/mystere-paris/mystere-paris-women-yellow-solid-cotton-lounge-pants/18083510/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18083510/2022/4/29/ac923c02-5b1e-4e81-8b79-422919fbea181651207301229CoolYellowLoungPants1.jpg",lounge-pants,mystere-paris,0,0
Croc Textured Handheld Bag,Accessorize,4.6,67,6925,5886,Onesize,handbags/accessorize/accessorize-white-croc-textured-handheld-bag-with-detachable-sling-strap/11405356/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11405356/2020/2/6/4aa77c02-54c2-4c03-ae05-f106cb77e5581580974511062-Accessorize-R-Katie-Chain-Handheld-6051580974509323-1.jpg",handbags,accessorize,1039,15
Men Kurta,Jompers,4.5,36,2099,902,"S,M,L,XL,XXL",kurtas/jompers/jompers-men-olive-green-thread-work-kurta/15455664/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15455664/2021/9/15/7c581117-7681-4717-8700-20d7868b67731631685962551JompersMenOliveGreenThreadWorkKurta1.jpg",kurtas,jompers,1197,57
Block Peep Toes with Buckles,FOOTONS,0,0,3399,1599,"EURO36,EURO37,EURO38,EURO39,EURO40,EURO41",heels/footons/footons-cream-coloured-block-peep-toes-with-buckles/18489340/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18489340/2022/5/30/eadfc952-2941-4bb8-a37d-8ffe82f531321653913370554FOOTONSCream-ColouredBlockPeepToeswithBuckles1.jpg",heels,footons,1800,52
Men Derbys,ID,4.3,67,3985,1912,"UK6,UK7,UK8,UK9,UK10,UK11",casual-shoes/id/id-men-brown-solid-derbys/13865076/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2021/3/13/320d6bee-03a2-43db-b9d1-c86581c05fc81615624514552-1.jpg",casual-shoes,id,2073,52
Gold-Plated Drop Earrings,Zaveri Pearls,4.3,168,2495,499,Onesize,earrings/zaveri-pearls/zaveri-pearls-green--off-white-gold-plated-contemporary-drop-earrings/14905126/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/14905126/2021/10/7/7c369f63-0bcc-4ee2-9dc0-7c05fedf196f1633622284733-Zaveri-Pearls-Green--Off-White-Gold-Plated-Contemporary-Drop-1.jpg",earrings,zaveri-pearls,1996,80
Embellished Net Dress,Toy Balloon kids,0,0,1999,899,"1-2Y,2-3Y,3-4Y,4-5Y,5-6Y,6-7Y,7-8Y,8-9Y,9-10Y,10-11Y,11-12Y",dresses/toy-balloon-kids/toy-balloon-kids-blue-embellished-layered-net-dress/16978474/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16978474/2022/1/29/796bf278-2ac6-48a1-9b1e-0becd5856b9b1643457080153ToyBalloonkidsBlueLayeredNetDress2.jpg",dresses,toy-balloon-kids,1100,55
Men Slim Fit Jeans,Greenfibre,0,0,1999,1999,"28,30,32,34,36,38,40",jeans/greenfibre/greenfibre-men-blue-slim-fit-stretchable-jeans/18427492/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18427492/2022/5/26/e48026c4-e1d1-4210-a95c-cfc677c1bd791653557793694GreenfibreMensRawBlueCottonStretchSolidJeans1.jpg",jeans,greenfibre,0,0
Women Woven Design Sneakers,ASIAN,4.6,7,999,629,"UK4,UK5,UK6,UK7,UK8",casual-shoes/asian/asian-women-black-woven-design-sneakers/17888028/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17888028/2022/4/14/c1f62570-aef0-4158-a630-280f53a1f9531649930470914ASIANWomenBlackWovenDesignSneakers1.jpg",casual-shoes,asian,370,37
Slim Fit Casual Shirt,HIGHLANDER,4.3,222,1099,461,"39,40,42,44",shirts/highlander/highlander-men-navy-blue-slim-fit-printed-casual-shirt/11964924/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11964924/2020/6/24/4acfecf3-ddea-4880-aab0-e6af6fc9b46a1593000911983HIGHLANDERMenNavyBlueSlimFitPrintedCasualShirt1.jpg",shirts,highlander,638,58
Tailored Fit Casual Shirt,U.S. Polo Assn.,0,0,2299,1724,"38,40,42,44,46",shirts/us-polo-assn/u-s-polo-assn-men-blue-and-red-tailored-fit-striped-pure-cotton-casual-shirt/16342310/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16342310/2022/2/11/cc26ed29-066c-4e82-8573-180c3fc4d46b1644567890621-U-S-Polo-Assn-Men-Blue-And-Red-Tailored-Fit-Striped-Pure-Cot-1.jpg",shirts,us-polo-assn,575,25
Training Rapid-Dry Tshirts,HRX by Hrithik Roshan,0,0,1099,769,"S,M,L,XL,XXL",tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-training-men-jet-black-rapid-dry-typography-tshirts/17860832/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17860832/2022/5/4/687575b0-025e-492b-bfc2-f1229257ae481651661104393-HRX-by-Hrithik-Roshan-Men-Tshirts-3791651661103795-1.jpg",tshirts,hrx-by-hrithik-roshan,330,30
Men Colourblocked Sneakers,ASIAN,0,0,999,519,"UK6,UK7,UK8,UK9,UK10",casual-shoes/asian/asian-men-grey-colourblocked-sneakers/18312012/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18312012/2022/5/18/09794bf2-a41d-45c2-bdac-85c9a8ae78971652872299666ASIANMenGreyColourblockedSneakers1.jpg",casual-shoes,asian,480,48
Longline Denim Jacket,ZALORA BASICS,0,0,3399,2549,"XS,S,M,L,XL",jackets/zalora-basics/zalora-basics-women-black-longline-denim-jacket/18034262/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18034262/2022/4/26/8b110017-4b18-496b-a2cb-418e6eebfcf41650948975277Jackets1.jpg",jackets,zalora-basics,850,25
Aloe Vera Gel - 500 g,BEAUCODE BIOCARE,0,0,499,299,400 ML & Above,face-serum-and-gel/beaucode-biocare/beaucode-biocare-aloe-vera-gel-for-all-skin-types---500-g/18314510/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18314510/2022/5/18/a6b7cce6-19d4-45f4-a75a-b9743e52f3d81652870290742BEAUCODEBIOCAREUnisexNAMaskandPeel1.jpg",face-serum-and-gel,beaucode-biocare,200,40
Training Rapid-Dry T-shirt,HRX by Hrithik Roshan,0,0,899,584,"XS,S,M,L,XL",tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-training-women-formula-red-rapid-dry-typography-t-shirt/15178126/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15178126/2022/5/18/79ffbf8b-2aff-47ec-b5b1-da311b6904641652865598299WROGNMenPeach-ColouredBlueBrandLogoPrintedSlimFitT-shirtTshi5.jpg",tshirts,hrx-by-hrithik-roshan,315,35
Printed Round Neck Pure Cotton T-shirt,Roadster,4.3,479,699,419,"S,M,L,XL",tshirts/roadster/roadster-men-navy-blue-printed-round-neck-pure-cotton-t-shirt/9972729/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/9972729/2019/10/11/85332c37-ce23-4777-ae96-30f73c06e6ea1570772783272-Roadster-Men-Tshirts-2591570772781565-1.jpg",tshirts,roadster,280,40
Women Solid Top,MANGO,4.3,7,2390,2151,"XS,S,M,L",tops/mango/mango-women-red-solid-top/16892540/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16892540/2022/4/19/e25e40e7-5543-48c7-9aba-0e2ee81a62701650363619534-MANGO-Women-Red-Solid-Top-8721650363619367-1.jpg",tops,mango,239,10
Men Perforated Formal Derbys,INVICTUS,0,0,3699,2219,"UK6,UK7,UK8,UK9,UK10",formal-shoes/invictus/invictus-men-black-perforated-formal-derbys-/15823358/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15823358/2022/6/4/cc5b3050-974d-4dee-bcd4-e60e8c50bc021654336738193-INVICTUS-Men-Formal-Shoes-9241654336737739-1.jpg",formal-shoes,invictus,1480,40
Solid Sports Trolley Bag,Kipsta By Decathlon,4.4,121,1999,1999,M,trolley-bag/kipsta-by-decathlon/kipsta-by-decathlon-unisex-black-solid-sports-trolley-bag/12978036/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2020/11/16/6e4ecaec-272e-4c60-b159-e347b4113abe1605529890518-1.jpg",trolley-bag,kipsta-by-decathlon,0,0
Men Leather Comfort Sandals,Hush Puppies,0,0,2699,2699,"UK6,UK7,UK8,UK9,UK10,UK11",sandals/hush-puppies/hush-puppies-men-brown-leather-comfort-sandals/17982216/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17982216/2022/4/22/e9542a37-8503-4da8-8e2f-9041b79c1cef1650603580583HushPuppiesMenBrownSandals1.jpg",sandals,hush-puppies,0,0
Women Maternity Anarkali Kurta,Nejo,0,0,1499,1334,"S,M,L,XL,XXL",kurtas/nejo/nejo-women-rust--white-geometric-printed-maternity-anarkali-kurta/18011338/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18011338/2022/5/16/50e36721-54a9-4ae4-8c51-ff58f01228901652679636526-Nejo-Women-Mustard-Brown--White-Printed-Pre--Post-Maternity--1.jpg",kurtas,nejo,165,11
Women Party Block Pumps,Rubeezz,4.2,5,2999,1349,"EURO35,EURO36,EURO37,EURO38,EURO39,EURO40,EURO41",heels/rubeezz/rubeezz-women-silver-toned-party-block-pumps/17846080/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17846080/2022/4/11/f776758d-ab00-4a8f-a9ef-63bd17e014c61649668219168RubeezzSilver-TonedPartyBlockPumps7.jpg",heels,rubeezz,1650,55
Bermuda Low Shorts,H&M,0,0,1999,1999,"23,25,27,28,30,31,33",shorts/hm/hm-women-black-bermuda-low-shorts/18345920/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18345920/2022/5/20/92bb6026-be68-411d-a2e0-210d3165de321653024581471BermudaLowShorts1.jpg",shorts,hm,0,0
Seductive Noir Body Mist 250ml,GUESS,4.2,45,1490,1117,240-260 ML,perfume-and-body-mist/guess/guess-seductive-noir-fragrance-body-mist-250-ml/16927618/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16927618/2022/1/25/0aa47259-0d74-434c-865e-ed63a1ddbcc51643087650638GuessSeductiveNoirBodyMist250ml1.jpg",perfume-and-body-mist,guess,373,25
Stunning Blue Solid Saree With Embellished Border,Tikhi Imli,4.1,244,2398,1294,Onesize,sarees/tikhi-imli/tikhi-imli-solid-poly-crepe-saree-with-embellished-border/15108042/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15108042/2021/9/4/7790033d-3c5e-4f79-b5d4-a02e8ef6f89f1630724393180-Tikhi-Imli-Women-Sarees-5051630724392713-1.jpg",sarees,tikhi-imli,1104,46
Printed Anarkali Kurta,Soch,4.3,6,2998,2248,"S,M,L,XL,XXL",kurtas/soch/soch-women-multicoloured-ethnic-motifs-printed-georgette-anarkali-kurta/14291762/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2021/5/11/72e8c096-42c1-4557-a626-e9ec67476fb31620722109284-1.jpg",kurtas,soch,750,25
Women Regular Fit Denim Shorts,Roadster,4.3,516,1499,749,"26,28,30,32,34,36",shorts/roadster/the-roadster-lifestyle-co-women-blue-solid-regular-fit-denim-shorts/11118500/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11118500/2020/3/12/5dcb76fb-6fff-4024-aec1-a9a32f5ed2ee1584015404250-Roadster-Women-Blue-Solid-Regular-Fit-Denim-Shorts-409158401-4.jpg",shorts,roadster,750,50
Pure Cotton Printed Sweatshirt,Mast & Harbour,3.8,111,1799,629,"S,M,L,XL",sweatshirts/mast--harbour/mast--harbour-women-red--white-pure-cotton-printed-sweatshirt/12147970/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/12147970/2021/3/12/3dfc257f-f8ec-401c-a863-4aa748c4179d1615545454736-Mast--Harbour-Women-Red--White-Pure-Cotton-Printed-Sweatshir-1.jpg",sweatshirts,mast--harbour,1170,65
Slim Striped Cotton Shirt,HERE&NOW,4.3,161,1899,664,"38,40,42,44,46",shirts/herenow/herenow-men-olive-green--black-slim-fit-pure-cotton-striped-casual-shirt/14808552/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/14808552/2021/8/17/2bbe7a3a-1a4e-4cb9-9070-ff74f84136551629195319156-HERENOW-Men-Shirts-431629195318603-1.jpg",shirts,herenow,1235,65
Women Cotton Printed Kurta,Anouk,4.2,45,1099,494,"XS,S,M,L,XL,XXL",kurtas/anouk/anouk-women-mustard-yellow--off-white-pure-cotton-ethnic-motifs-printed-kurta/17102592/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17102592/2022/5/20/e8d8a9b8-bcfb-4788-abe7-6b3236e248591653044811241-Anouk-Women-Mustard-Yellow--Off-White-Ethnic-Motifs-Printed--1.jpg",kurtas,anouk,605,55
Women 711 Skinny Fit Jeans,Levis,3.6,8,3699,3329,"25,26,27,28,30,32,34",jeans/levis/levis-women-blue-711-skinny-fit-mid-rise-light-fade-stretchable-jeans/16653778/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16653778/2022/1/13/0f885fab-78ff-4332-a65b-fcf95b53b56e1642077404945-Levis-Women-Jeans-7491642077404254-1.jpg",jeans,levis,370,10
Girls Self Design A-Line Dress,Stylo Bug,4.2,384,2195,658,"9-10Y,11-12Y,13-14Y",dresses/stylo-bug/stylo-bug-girls-yellow-self-design-a-line-dress/14227614/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2021/4/30/75270b7e-a81d-4f54-9405-9f8d1a204ffa1619779892847-1.jpg",dresses,stylo-bug,1537,70
Women Relaxed Fit High-Rise Jeans,ONLY,1.3,3,3699,2959,"34,36,38,40,42",jeans/only/only-women-blue-relaxed-fit-high-rise-low-distress-jeans/17914736/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17914736/2022/4/19/1e3289d6-cd8d-481e-a2d1-f0159fa05b9a1650341539131ONLYWomenBlueRelaxedFitHigh-RiseLowDistressJeans1.jpg",jeans,only,740,20
Men Tie and Dye Dyed Polo Collar Slim Fit T-shirt,Flying Machine,0,0,1799,1799,"S,M,L,XL,XXL",tshirts/flying-machine/flying-machine-men-blue--white-tie-and-dye-dyed-polo-collar-slim-fit-pure-cotton-t-shirt/17907410/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17907410/2022/6/2/39a1961b-57e2-4c83-8675-337a6fefb8a51654141987381-Flying-Machine-Men-Blue--White-Tie-and-Dye-Dyed-Polo-Collar--1.jpg",tshirts,flying-machine,0,0
Checked Slim Fit Casual Shirt,Park Avenue,3.8,14,2099,1469,"39,40,42,44,46",shirts/park-avenue/park-avenue-men-blue-checked-slim-fit-pure-cotton-casual-shirt/16741992/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16741992/2022/1/31/aaa1ae58-25aa-47ea-96f1-0cc8a08e61501643620303354-Park-Avenue-Men-Blue-Checked-Slim-Fit-Pure-Cotton-Casual-Shi-1.jpg",shirts,park-avenue,630,30
Plus Size A-Line Maxi Dress,Sztori,4.2,17,1899,949,"XXL,3XL,4XL,5XL,6XL",dresses/sztori/sztori-women-plus-size-maroon-a-line-maxi-dress/16338130/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16338130/2022/5/27/85301535-2107-466f-847e-46aeaf63e7b31653644393389-Sztori-Maroon-A-Line-Maxi-Dress-5221653644392962-1.jpg",dresses,sztori,950,50
Men Solid Thong Flip-Flops,Weinbrenner,4.1,78,999,899,"UK6,UK7,UK8,UK9,UK10,UK11",flip-flops/weinbrenner/weinbrenner-men-blue-solid-thong-flip-flops/12407330/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2020/9/5/b6d8f73c-30f1-4bf1-8c8f-cf9b0bd7612c1599256738189-1.jpg",flip-flops,weinbrenner,100,10
Seductive Noir Body Mist 250ml,GUESS,4.2,45,1490,1117,240-260 ML,perfume-and-body-mist/guess/guess-seductive-noir-fragrance-body-mist-250-ml/16927618/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16927618/2022/1/25/0aa47259-0d74-434c-865e-ed63a1ddbcc51643087650638GuessSeductiveNoirBodyMist250ml1.jpg",perfume-and-body-mist,guess,373,25
Stunning Blue Solid Saree With Embellished Border,Tikhi Imli,4.1,244,2398,1294,Onesize,sarees/tikhi-imli/tikhi-imli-solid-poly-crepe-saree-with-embellished-border/15108042/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15108042/2021/9/4/7790033d-3c5e-4f79-b5d4-a02e8ef6f89f1630724393180-Tikhi-Imli-Women-Sarees-5051630724392713-1.jpg",sarees,tikhi-imli,1104,46
Printed Anarkali Kurta,Soch,4.3,6,2998,2248,"S,M,L,XL,XXL",kurtas/soch/soch-women-multicoloured-ethnic-motifs-printed-georgette-anarkali-kurta/14291762/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2021/5/11/72e8c096-42c1-4557-a626-e9ec67476fb31620722109284-1.jpg",kurtas,soch,750,25
Women Regular Fit Denim Shorts,Roadster,4.3,516,1499,749,"26,28,30,32,34,36",shorts/roadster/the-roadster-lifestyle-co-women-blue-solid-regular-fit-denim-shorts/11118500/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11118500/2020/3/12/5dcb76fb-6fff-4024-aec1-a9a32f5ed2ee1584015404250-Roadster-Women-Blue-Solid-Regular-Fit-Denim-Shorts-409158401-4.jpg",shorts,roadster,750,50
Pure Cotton Printed Sweatshirt,Mast & Harbour,3.8,111,1799,629,"S,M,L,XL",sweatshirts/mast--harbour/mast--harbour-women-red--white-pure-cotton-printed-sweatshirt/12147970/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/12147970/2021/3/12/3dfc257f-f8ec-401c-a863-4aa748c4179d1615545454736-Mast--Harbour-Women-Red--White-Pure-Cotton-Printed-Sweatshir-1.jpg",sweatshirts,mast--harbour,1170,65
Slim Striped Cotton Shirt,HERE&NOW,4.3,161,1899,664,"38,40,42,44,46",shirts/herenow/herenow-men-olive-green--black-slim-fit-pure-cotton-striped-casual-shirt/14808552/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/14808552/2021/8/17/2bbe7a3a-1a4e-4cb9-9070-ff74f84136551629195319156-HERENOW-Men-Shirts-431629195318603-1.jpg",shirts,herenow,1235,65
